Application ID,Do you own or rent?,"If you rent, does your landlord allow pets?",Does your landlord or home insurance place any breed or weight restrictions on the animals you are allowed to have?,Do you have a yard?,Do you have screens in your windows?,Are all the members of your household in agreement about adopting a dog?,Does anyone in the household have pet allergies?,"Do you live in public housing (NYCHA, projects, section 8)?","Are you at least 21 years of age and head of household? If not, you will not be approved to adopt with IOHR.",Why do you want to adopt a dog?,What energy level would work with your lifestyle?,Are your pets up to date on their vaccinations and monthly preventatives (flea/tick and heartworm)?,"Where have your current and previous animals come from? Please list the adoption agency, shelter, or breeder if applicable.",Are your current cats/dogs spayed or neutered and have your past cats/dogs been spayed or neutered?,Have you ever bred an animal,Please provide the name and phone number for your most recent or current veterinarian (even if you don't have the animals anymore). What name are the records listed under? Please note that some vets require your permission to release information to us; please call your vet now and give them permission as this will help expedite the application process!,"On a regular day, how many hours will the dog be left alone?",Where will the dog be kept?,Do you have a contingency plan to pay for unexpected emergency vet bills?,How soon do you want to adopt a pup?,"Have you ever had to give up a pet? If so, why and where did the pet go?",Have you been involved in domestic disturbances in which the police were called in your current living situation?,"If you are adopting with a partner, are you in agreement that the dog will go with one of you should you separate, and not be surrendered back to us or a shelter?","If you are a senior or have serious health conditions, do you have a contingency plan for the dog should you no longer be able to care for it? What is the plan?","Are you willing to work through unexpected hardships with your pet and hire a trainer if need be? i.e. housetraining, separation anxiety, fear, socialization, acclimation to other animals, etc"
https://ps31.petstablished.com/adoption_applications/1202474,Rent,"Yes, my landlord allows pets",No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,"As a cuddly addition to my little family , for love and affection ",Active - Short walks and dog park play,I do not currently have pets,Craigslist ,I don't have animals ,No,Na,0 - 4,Inside and able to roam in the down stairs area,Yes,"Right away, hand that dog over!",Yes a cat because my home was not pet friendly and I gave her to a woman and her daughter to love ,No,Na,Na,Yes
https://ps31.petstablished.com/adoption_applications/1202077,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,Yes,Yes,No,No,Yes,To give our other dog company and we just want another friend ,Energetic - Running buddy,My animals are up to date on their vaccinations but I do not administer monthly preventatives,Family friends gave them to us,Yes all of my animals are spayed/neutered,NOOOOOO! ,Changing vet our vet retired ,0 - 4,Our dog goes where ever he wants to go in the house,Yes,"Right away, hand that dog over!",No I did not,No,Yes,I’m not a senior,Yes
https://ps31.petstablished.com/adoption_applications/1201915,Rent,"Yes, my landlord allows pets",No Pitbulls ,I don't have a yard. ,Yes,Yes,No,No,Yes,I work from home looking for a companion and an addition to our family for both myself and my fiancé.,Active - Short walks and dog park play,I do not currently have pets,N/A,I don't have animals ,No,N/A,0 - 4,In my home,Savings if need be a loan orcredit card,"Right away, hand that dog over!",No,No,Yes,My fiancé or sister will take my pet,Yes
https://ps31.petstablished.com/adoption_applications/1201791,Own,,,"Yes, a fenced yard.",No,Yes,"Yes, I am allergic to cats. ",No,Yes,"My family and I love animals and feel the adoption is the best way to give a dog a forever loving home. We want a dog to take on family adventures with us. This may include but is not limited to; hiking, camping, beach days, BBQ, family parties,  and country visits. ",Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,Gigi was adopted from Hope Animal Rescue in NJ. I believe the rescue has closed since we adopted her. I am no longer able to find their website. ,Yes all of my animals are spayed/neutered,No.,"People for Animals, Inc Telephone: 973-282-0890 Address: 401 Hillside Ave Hillside, NJ 07205",0 - 4,"The dog will be allowed to roam the house freely once trained. During the training process, we will use a crate for the 1-3 hrs I am not home. This will help reduce any chance of accidents while I am away. Once the dog is fully trained (like Gigi) we will no longer use the crate. The dog will have the option to go in the crate if he pleases, but we will not lock it.  ","Yes, I have a significant saving account for any pet emergency. ","Right away, hand that dog over!","No, I have never given up a pet. ","No, I have never been involved in domestic disturbances. ","Yes, If I am no longer able to care for the dog my parents will take full responsibility for the dog. ",n/a,Yes
https://ps31.petstablished.com/adoption_applications/1203354,Rent,"Yes, my landlord allows pets",Under 50lbs,"Yes, an unfenced yard.",No,Yes,No,No,yes,I have always want a dog a now I am in the position to care for one. ,Active - Short walks and dog park play,I do not currently have pets,NA,I don't have animals ,No,NA,4 - 8,In the apartment ,"Yes, I have accumulated enough saving to cover any unexpected bills","I am uncertain, it would depend on me finding the right dog","Yes, a hamster when I was 8. He bit me and was sick. He was returned to Petco.",Never,NA,NA,Yes
https://ps31.petstablished.com/adoption_applications/1200777,Own,,,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,"We love dogs.  Our precious Wheaten Terrier died last November, and we want to provide a loving home to another dog.",Active - Short walks and dog park play,I do not currently have pets,"We purchased  our wheaten from a breeder in North Wales, PA.",Yes all of my animals are spayed/neutered,No,"Dr. John Gulliford, Somerton Animal Hospital215-673-1410",0 - 4,In our home,Yes,"I am uncertain, it would depend on me finding the right dog",No,No,Yes,"My niece, Laura Quinn, has happily volunteered to step in if necessary.",Yes
https://ps31.petstablished.com/adoption_applications/1203558,Rent,"Yes, my landlord allows pets",No ,"Yes, an unfenced yard.",Yes,Yes,No ,No,Yes ,I would love to adopt a dog because I want to be able to give a dog that may have not had the best start in life to be able to enjoy life with me and experience new things in life. I want to be able to share my life with a dog and not only watch the dog grow but watch myself grow as well. I am in a perfect place in my life to have a dog and do that. ,Active - Short walks and dog park play,I do not currently have pets,DAWS (Danbury Animal Welfare Society) ,I don't have animals ,No. ,"Cats Corner Veterinary Hospital 203 264 8827 Records are under Pamela Hein (I was under age at the time of adoption of the animals) ",4 - 8,The dog will be kept in my apartment. He or she will have free range of the apartment when I am not there. They will have a dog bed of their own but will be able to lounge around in any room that is open to him or her ,I do have bank accounts in multiple institutions in case of emergencies. I have credit cards only for certain uses such as an emergency as well as emergency cash on hand if needed. ,I am thinking probably in the next few days,No I have never had to surrender an animal. ,No. No domestic disturbances ,Yes the dog will be adopted in my name and go with me. ,N/A ,Yes
https://ps31.petstablished.com/adoption_applications/1198744,Own,,No,"Yes, an unfenced yard.",Yes,Yes,Myself,No,Yes,It’s just my daughter and I. We felt it was time to start looking.  We were going to buy and decided together to adopt.  Hank hit home for us.  His eye condition related to my own eye problems.  My seven yearold was also touched by Hanks ear problems.  He is also a poodle which make my allergies happy.,Active - Short walks and dog park play,I do not currently have pets,In the past I inherited a dog.  The rest were purchased from a breeder.,I don't have animals ,No,"I currently don’t have a vet, I could ask my sister who she uses.",0 - 4,"In the house I don’t like to crate train, I am not sure how Hank is currently kept.  Zoë and I will like his as comfortable as possible.",I would like to purchase Insirance for the dog.,"I am uncertain, it would depend on me finding the right dog",Never,Never,No partner just my daughter and I,I’m 38 and we will grow old together __,Yes
https://ps31.petstablished.com/adoption_applications/1199134,Own,I own my home and do not need approval from a landlord,no,"Yes, an unfenced yard.",Yes,Yes,no,No,yes,I am a lifetime animal lover and have had pets most of my life. They become part of the family. We currently have one dog who loves other dogs so  a new addition would be welcomed by us all.,Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,We adopted Suki and Tonka from Shelter Dogs of America based in Mansfield Ohio.,Yes all of my animals are spayed/neutered,no,Harlingen Veterinary Clinic 908 359-2000,0 - 4,Indoors. Our current dog has full access to our house.,We are financial able to pay vet bills,"I am uncertain, it would depend on me finding the right dog",no,no,"We've been married for 40 years and have no plans of separating, but, if that ever happened they would not go back to you or a shelter.",,Yes
https://ps31.petstablished.com/adoption_applications/1199555,Rent,"Yes, my landlord allows pets",No,I don't have a yard. ,Yes,Yes,No,No,YEW.....YES.....  I STILL WANT TO AFOPT..  PUPPY OR KITTEN,"Im 46 years old.  I grew  up up in Arrkavaaaa with cats and dogs all my life.  After college  I moved to   NY ...Could never have A  pet.      im always swore that if I ever v get mt own apt, Mr immediatly adopte pets.   I moved in 4 days ago...  I kept my promise you myself...   I LOVE ALL PETS...AND SO READY TO SHOW GIVE LOVE...AND FEEL ACCEPT  ","Mellow - Short, daily walks",I do not vaccinate my animals or give them monthly preventatives,Na,I don't have animals ,No,Na,4 - 8,My apt.,Yes,"Right away, hand that dog over!",No,No,N+,Friends,Yes
https://ps31.petstablished.com/adoption_applications/1197004,Rent,"Yes, my landlord allows pets",I already own a dog ,"Yes, a fenced yard.",No,Yes,No ,No,Yes ,I want a companion for dog Lemmy and us. I want to to just extend our family. ,Energetic - Running buddy,My animals are up to date on their vaccinations and receive monthly preventatives,Getyourpet.com I adopted him,Some of my animals are spayed/neutered,No,Banfield hospital  516-593-2464,0 - 4,Inside the house ,Yes,"Right away, hand that dog over!",No never ,No,Yes,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1194865,Rent,"Yes, my landlord allows pets",Small and medium dogs knly,I don't have a yard. ,Yes,Yes,,No,Yes,Affection and Company,"Mellow - Short, daily walks",I do not currently have pets,None,I don't have animals ,No,None,4 - 8,Inside the home,Yes,"Right away, hand that dog over!",Yes. My children were too young to take care of the dog. Gave it to a close uncle.,No,No,No,Yes
https://ps31.petstablished.com/adoption_applications/1196564,Rent,"Yes, my landlord allows pets",,I don't have a yard. ,Yes,Yes,No,No,Yes,I always wanted a dog but never could because we never had a big enough space for one but I recently moved into a two story house and I finally have the space and the needs for a pet,Active - Short walks and dog park play,I do not currently have pets,No,I don't have animals ,,N/a,0 - 4,In my apartment ,Yes,"Right away, hand that dog over!",No,No,Yes,N/a,Yes
https://ps31.petstablished.com/adoption_applications/1194618,Rent,"Yes, my landlord allows pets",no,I don't have a yard. ,Yes,Yes,no,No,yes,17-year-old toy poodle recently deceased.  I adore dogs,"Mellow - Short, daily walks",I do not currently have pets,breeder,I don't have animals ,no,PAWS New York sends a vet to the home for vacs and shots,0 - 4,in my apartment,PAWS New York,"Right away, hand that dog over!",no,no,n/a,PAWS NY has volunteer foster parents,Yes
https://ps31.petstablished.com/adoption_applications/1194601,Rent,"Yes, my landlord allows pets",no,I don't have a yard. ,Yes,Yes,No,No,Yes,companionship,"Mellow - Short, daily walks",I do not currently have pets,I brought son's dog  from Puerto Rico.,I don't have animals ,No,"Millburn Veterinary Hospital",0 - 4,I live in a three bedroom apt,Yes. ,"Right away, hand that dog over!",No,No,N/A,My son will gladly take the dog.,Yes
https://ps31.petstablished.com/adoption_applications/1193204,Own,I own my home and do not need approval from a landlord,No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,My husband and I recently got married and bought a house and are looking to complete our family with a dog (or two!). We both grew up with dogs and know that our new house will not feel like home until it has a furry friend!,Active - Short walks and dog park play,I do not currently have pets,"Duke - Woods Humane Society, San Luis Obispo, CAPepper - Woods Humane Society, San Luis Obispo, CAWinnie - Breeder (unknown - parents purchased)Chester - Breeder (unknown - parents purchased)",I don't have animals ,No,We do not yet have a veterinarian and we do not live in the same city as our parents with the pets listed above,4 - 8,Indoors with the option of going into the backyard,"Yes, we have a large emergency fund already","Right away, hand that dog over!",No,No,Yes,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1193004,Own,I own my home and do not need approval from a landlord,,"Yes, an unfenced yard.",Yes,Yes,No,No,yes,I love dogs. I lost my dog Brushchi  after 14 years.  I have a great yard for a dog. My wife and I would love another dog.,Active - Short walks and dog park play,I do not currently have pets,"newspaper, breeder",I don't have animals ,no,Dr James Greer tel-860-5372470,0 - 4,basement,"I had Brushchi with the bloat. I took care of his vet bills. I realize that things come up with a dogs health,","I am uncertain, it would depend on me finding the right dog",no,noyes,yes,My daughter will take the dog.,Yes
https://ps31.petstablished.com/adoption_applications/1196780,Rent,"Yes, my landlord allows pets",no.,I don't have a yard. ,Yes,Yes,no.,No,yes.,I am currently a part time student living in the west village in a one bedroom apartment. I grew up with my family always having dogs around and I really want one of my own. I think it’s important to adopt rather than shop when it comes to animals because I know so many dogs need a loving home. My parents support me financially and I babysit sometimes but I focus a lot on school. I grew up with a labra-doodle and I know they have a lot of energy. I live right by the washington square park dog park where I would love to take stella! I also go on runs a lot along the water and which I’m sure an energetic puppy would love to join me on those runs. I am just really tired of living alone and I need something to care for and love and protect me. ,Energetic - Running buddy,My animals are up to date on their vaccinations and receive monthly preventatives,Both of the labra-doodles came from a Breeder in Connecticut and the pug came from a breeder in Pennsylvania. My mom bought them so I am not sure what the names of the breeders are. ,Yes all of my animals are spayed/neutered,no.,they are my family’s dogs so my mom takes care of all of their vet bills and information. ,0 - 4,In my apartment. ,"Yes, my parents will help me with all of the vet expenses for the dog. ","Right away, hand that dog over!","yes, my family had to give up our large labra-doodle because he accidentally bit our mailman when he thought he was a threat. We had to give him away, but my uncle ended up wanting a dog so we gave him to my uncle. He lives about 10 minuets away from us so we still get to see him all the time and we know he is happy. ",no.,I’m not adopting with a partner.,my parents are willing to take it and care for it. ,Yes
https://ps31.petstablished.com/adoption_applications/1196789,Rent,"Yes, my landlord allows pets",No,"Yes, an unfenced yard.",Yes,Yes,No,No,Yes,My spouse and I grew up with dogs we want our children to have that also.,"Mellow - Short, daily walks",My animals are up to date on their vaccinations but I do not administer monthly preventatives,A friend gave my cat to me,Some of my animals are spayed/neutered,No,Don’t have a permanent vet ,0 - 4,Home,Yes,"Right away, hand that dog over!","Yes my cats a few years ago I gave them to my aunt ",No,Yes,Don’t apply to me,Yes
https://ps31.petstablished.com/adoption_applications/1194032,Rent,"Yes, my landlord allows pets","No, they just ask for a clean bill of health and since we're on a medical school campus, I just have to get confirmed as being able to get an ""emotional support animal."" There's a large community of dog owners in the housing complex and a fenced dog park as well. ",I don't have a yard. ,No,Yes,No,No,Yes,"I feel like at this point in my life I have the resources, time and patience to give a puppy a loving home, and adding a new member to the family will bring us joy. ",Active - Short walks and dog park play,I do not currently have pets,N/A,I don't have animals ,No,N/A,0 - 4,Play pen (secure),Yes,"I am taking my time, a few weeks is fine ",No,No,Yes,,Yes
https://ps31.petstablished.com/adoption_applications/1192738,Rent,"Yes, my landlord allows pets",No.,I don't have a yard. ,Yes,Yes,cat allergies.,No,yes,I have finally adjusted to the city enough to be able to dedicate enough time/love to raising the animal.,"Mellow - Short, daily walks",I do not currently have pets,n/a,I don't have animals ,no.,n/a,0 - 4,in my apartment,I have a savings and 401K in place.,I am thinking probably in the next few days,no,no,n/a,n/a,Yes
https://ps31.petstablished.com/adoption_applications/1196018,Rent,"Yes, my landlord allows pets",No ,I don't have a yard. ,Yes,Yes,No ,No,Yes ,I always wanted a puppy to establish create an amazing bond since I was a little kid never had the chance to have one of my own ,Energetic - Running buddy,I do not currently have pets,No where ,I don't have animals ,,I never went ,0 - 4,My room ,Yes,"Right away, hand that dog over!",No,No,No,Mo,Yes
https://ps31.petstablished.com/adoption_applications/1191937,Rent,"Yes, my landlord allows pets",No,"Yes, an unfenced yard.",No,Yes,No,No,Yes,I love dogs and want to provide a puppy with a safe and loving home!,Active - Short walks and dog park play,My animals are up to date on their vaccinations and receive monthly preventatives,Shelter in Queens,Yes all of my animals are spayed/neutered,No,"St. Marks Veterinary Hospital",0 - 4,In my apartment,Yes,"I am taking my time, a few weeks is fine ",No,No,N/A,,Yes
https://ps31.petstablished.com/adoption_applications/1191614,Rent,"Yes, my landlord allows pets",no,I don't have a yard. ,Yes,Yes,no,No,yes,its like a missing piece for our family,Active - Short walks and dog park play,I do not currently have pets,n/a,I don't have animals ,no,n/a,0 - 4,living room/bedroom,"yes, but I will also have health insurance","Right away, hand that dog over!",no,no,n/a,n/a,Yes
https://ps31.petstablished.com/adoption_applications/1191513,Rent,"Yes, my landlord allows pets",No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,I want a best friend.,Active - Short walks and dog park play,I do not currently have pets,pasadena humane society,I don't have animals ,No,I don’t have that information ,4 - 8,In the House.,Yes ,"Right away, hand that dog over!",No.,No.,Doesn’t apply to me.,Doesn’t apply to me.,Yes
https://ps31.petstablished.com/adoption_applications/1190820,Rent,"Yes, my landlord allows pets",No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,This is the first time in my life I havent had a dog (for almost 3 years) and I miss it.,Active - Short walks and dog park play,My animals are up to date on their vaccinations but I do not administer monthly preventatives,Cat was adopted from a pound at around 6 weeks old. Doberman was from a small breeder in London.,Some of my animals are spayed/neutered,No,"Brooklyn's Finest Animal Clinic, Dr. Rhooms, 718-735-7000. My daughter takes the cat there & her name is Corinna Mullin-Rouabah.",0 - 4,"On first floor of our house & outside in the backyard, weather permitting",I have sufficient funds.,"I am uncertain, it would depend on me finding the right dog","Yes, I had to leave my Doberman in London because I did not have a permanent address back in the US.",No,It will be my dog and I will keep it if the family is separated,"Yes, my daughter will keep it and my grandson will help out until he goes to college.",Yes
https://ps31.petstablished.com/adoption_applications/1191137,Own,I own my home and do not need approval from a landlord,,"Yes, a fenced yard.",Yes,Yes,No,No,I am 21 and head of houshold,I had always  had a dog in my life,Energetic - Running buddy,My animals are up to date on their vaccinations and receive monthly preventatives,Pets store.  And from poland,Some of my animals are spayed/neutered,No,Bergen county animal hospital,0 - 4,Inside the house,Yes,"Right away, hand that dog over!",No,No,No,No,Yes
https://ps31.petstablished.com/adoption_applications/1189464,Rent,"Yes, my landlord allows pets",,I don't have a yard. ,Yes,Yes,Cats,No,Yes.,Love and support.,"Mellow - Short, daily walks",I do not currently have pets,Oregon Humane Society,I don't have animals ,No,N/A,0 - 4,In the apartment,Credit cards/family,"I am taking my time, a few weeks is fine ",No,No,N/A,,Yes
https://ps31.petstablished.com/adoption_applications/1188884,Rent,"Yes, my landlord allows pets",No,"Yes, a fenced yard.",Yes,Yes,No,No,Yes,"Always have been a dog lover. My parents adopted a dog a year ago and I love the joy and happiness it brings, espcially with my kids. A dog is really a mans best friend.",Active - Short walks and dog park play,My animals are up to date on their vaccinations but I do not administer monthly preventatives,Animal Rescue,Yes all of my animals are spayed/neutered,No,N/A,0 - 4,In the home.,Yes. My company offered Pet Insurance.,"Right away, hand that dog over!",n/a,No,Yes!,N/A,Yes
https://ps31.petstablished.com/adoption_applications/1189012,Own,I own a co-op and have received board approval to have a pet ,To a degree,I don't have a yard. ,No,Yes,No,No,Yes,As a family addition but mainly for my son.,"Mellow - Short, daily walks",I do not currently have pets,N/a,I don't have animals ,No,N/a,0 - 4,In the apt.,No,"I am uncertain, it would depend on me finding the right dog",No,No,N/a,N/a,Not Sure
